time_period,crime_count
Day_FRIDAY,93625
Day_MONDAY,83505
Day_SATURDAY,90506
Day_SUNDAY,83073
Day_THURSDAY,85052
Day_TUESDAY,82095
Day_WEDNESDAY,84942
Hour_0,20363
Hour_1,18095
Hour_10,23497
Hour_11,24197
Hour_12,34609
Hour_13,26168
Hour_14,28890
Hour_15,31798
Hour_16,32930
Hour_17,37820
Hour_18,39898
Hour_19,36940
Hour_2,16151
Hour_20,36900
Hour_21,32458
Hour_22,31643
Hour_23,26786
Hour_3,14985
Hour_4,12944
Hour_5,11620
Hour_6,12223
Hour_7,13967
Hour_8,18912
Hour_9,19004
Month_APRIL,49327
Month_AUGUST,50032
Month_DECEMBER,48612
Month_FEBRUARY,50643
Month_JANUARY,54840
Month_JULY,50446
Month_JUNE,48858
Month_MARCH,51802
Month_MAY,49627
Month_NOVEMBER,49142
Month_OCTOBER,51153
Month_SEPTEMBER,48316
